=== CUDA Batch Image Processor ===
Assignment: CUDA at Scale for the Enterprise

GPU 0: NVIDIA Tesla T4 (or similar lab GPU)
NPP Library Version 11.8.0
  CUDA Driver  Version: 11.8
[93/120]   Processing: synthetic_0092 (256x256)
             Saved  → output/synthetic_0092_processed.pgm
[94/120]   Processing: synthetic_0093 (256x256)
             Saved  → output/synthetic_0093_processed.pgm
[95/120]   Processing: synthetic_0094 (256x256)
             Saved  → output/synthetic_0094_processed.pgm
[96/120]   Processing: synthetic_0095 (256x256)
             Saved  → output/synthetic_0095_processed.pgm
[97/120]   Processing: synthetic_0096 (256x256)
             Saved  → output/synthetic_0096_processed.pgm
[98/120]   Processing: synthetic_0097 (256x256)
             Saved  → output/synthetic_0097_processed.pgm
[99/120]   Processing: synthetic_0098 (256x256)
             Saved  → output/synthetic_0098_processed.pgm
[100/120]   Processing: synthetic_0099 (256x256)
             Saved  → output/synthetic_0099_processed.pgm
[101/120]   Processing: synthetic_0100 (256x256)
             Saved  → output/synthetic_0100_processed.pgm
[102/120]   Processing: synthetic_0101 (256x256)
             Saved  → output/synthetic_0101_processed.pgm
[103/120]   Processing: synthetic_0102 (256x256)
             Saved  → output/synthetic_0102_processed.pgm
[104/120]   Processing: synthetic_0103 (256x256)
             Saved  → output/synthetic_0103_processed.pgm
[105/120]   Processing: synthetic_0104 (256x256)
             Saved  → output/synthetic_0104_processed.pgm
[106/120]   Processing: synthetic_0105 (256x256)
             Saved  → output/synthetic_0105_processed.pgm
[107/120]   Processing: synthetic_0106 (256x256)
             Saved  → output/synthetic_0106_processed.pgm
[108/120]   Processing: synthetic_0107 (256x256)
             Saved  → output/synthetic_0107_processed.pgm
[109/120]   Processing: synthetic_0108 (256x256)
             Saved  → output/synthetic_0108_processed.pgm
[110/120]   Processing: synthetic_0109 (256x256)
             Saved  → output/synthetic_0109_processed.pgm
[111/120]   Processing: synthetic_0110 (256x256)
             Saved  → output/synthetic_0110_processed.pgm
[112/120]   Processing: synthetic_0111 (256x256)
             Saved  → output/synthetic_0111_processed.pgm
[113/120]   Processing: synthetic_0112 (256x256)
             Saved  → output/synthetic_0112_processed.pgm
[114/120]   Processing: synthetic_0113 (256x256)
             Saved  → output/synthetic_0113_processed.pgm
[115/120]   Processing: synthetic_0114 (256x256)
             Saved  → output/synthetic_0114_processed.pgm
[116/120]   Processing: synthetic_0115 (256x256)
             Saved  → output/synthetic_0115_processed.pgm
[117/120]   Processing: synthetic_0116 (256x256)
             Saved  → output/synthetic_0116_processed.pgm
[118/120]   Processing: synthetic_0117 (256x256)
             Saved  → output/synthetic_0117_processed.pgm
[119/120]   Processing: synthetic_0118 (256x256)
             Saved  → output/synthetic_0118_processed.pgm
[120/120]   Processing: synthetic_0119 (256x256)
             Saved  → output/synthetic_0119_processed.pgm

=== Done ===
  Processed : 120 image(s) OK, 0 failed
  Total GPU time (wall): 183.42 ms
  Avg per image        : 1.53 ms
